AirportCode,AirportName,City,AdministrativeDivision,Country
YCO,Kugluktuk Airport,Coppermine,N.W.T.,Canada
YCT,Coronation Airport,Coronation,Alberta,Canada
YCW,Chilliwack Airport,Chilliwack,B.C.,Canada
YCY,Clyde River Airport,Clyde River,N.W.T.,Canada
YZS,Coral Harbour Airport,Coral Harbour,N.W.T.,Canada
YDA,Dawson City Airport,Dawson,Y.T.,Canada
YDB,Burwash Airport,Burwash,Y.T.,Canada
YDF,Deer Lake Airport,Deer Lake,Nfld.,Canada
YDL,Dease Lake Airport,Dease Lake,B.C.,Canada
YDN,Dauphin Barker Airport,Dauphin,Man.,Canada
YDQ,Dawson Creek Airport,Dawson Creek,B.C.,Canada
YEG,Edmonton International Airport,Edmonton,,Canada
YEK,Arviat Airport,Eskimo Point,N.W.T.,Canada
YEN,Estevan Airport,Estevan,Sask.,Canada
YET,Edson Airport,Edson,Alta,Canada
YEU,Eureka Airport,Eureka,N.W.T.,Canada
YEV,Inuvik Mike Zubko Airport,Inuvik,N.W.T.,Canada
YFB,Iqaluit Airport,Iqaluit,N.W.T.,Canada
YFC,Fredericton Airport,Fredericton,N.B.,Canada
YFE,Forestville Airport,Forestville,Que.,Canada
YFO,Flin Flon Airport,Flin Flon,Man.,Canada
YFR,Fort Resolution Airport,Fort Resolution,N.W.T.,Canada
YFS,Fort Simpson Airport,Fort Simpson,N.W.T.,Canada
YGK,Kingston Norman Rogers Airport,Kingston,Ont.,Canada
YGL,La Grande Rivière Airport,La Grande Riviere,Quebec,Canada
YGP,Gaspé (Michel-Pouliot) Airport,Gaspe,Que.,Canada
YGQ,Geraldton Greenstone Regional Airport,Geraldton,Ont.,Canada
YGR,Îles-de-la-Madeleine Airport,Iles De La Madeleine,Que.,Canada
YHB,Hudson Bay Airport,Hudson Bay,Sask.,Canada
YHD,Dryden Regional Airport,Dryden,Ont.,Canada
YHI,Ulukhaktok Holman Airport,Holman Island,N.W.T.,Canada
YHK,Gjoa Haven Airport,Gjoa Haven,N.W.T.,Canada
YHM,John C. Munro Hamilton International Airport,Hamilton,Ont.,Canada
YHU,Montréal / Saint-Hubert Airport,Montreal,Que.-St. Hubert,Canada
YHY,Hay River / Merlyn Carter Airport,Hay River,N.W.T.,Canada
YHZ,Halifax / Stanfield International Airport,Halifax,N.S.,Canada
YIB,Atikokan Municipal Airport,Atikokan,Ont.,Canada
YIO,Pond Inlet Airport,Pond Inlet,N.W.T.,Canada
YJN,St Jean Airport,St. Jean,Quebec,Canada
YJT,Stephenville Airport,Stephenville,Nfld.,Canada
YKA,Kamloops Airport,Kamloops,B.C.,Canada
YKF,Waterloo Airport,Waterloo,Ont.,Canada
YKL,Schefferville Airport,Schefferville,Que.,Canada
YKY,Kindersley Airport,Kindersley,Sask,Canada
YKZ,Buttonville Municipal Airport,Toronto,Ont.,Canada
YLD,Chapleau Airport,Chapleau,Ontario,Canada
YLJ,Meadow Lake Airport,Meadow Lake,Sask.,Canada
YLL,Lloydminster Airport,Lloydminster,Saskatchewan,Canada
YLT,Alert Airport,Alert,N.W.T.,Canada
YLW,Kelowna International Airport,Kelowna,B.C.,Canada
YMA,Mayo Airport,Mayo,Y.T.,Canada
YMJ,Moose Jaw Air Vice Marshal C. M. McEwen Airport,Moose Jaw,Sask.,Canada
YMM,Fort McMurray Airport,Fort Mcmurray,Alta.,Canada
YMO,Moosonee Airport,Moosonee,Ontario,Canada
YMW,Maniwaki Airport,Maniwaki,Quebec,Canada
YMX,Montreal International (Mirabel) Airport,Montreal,Que.,Canada
YNA,Natashquan Airport,Natashquan,Que.,Canada
YND,Ottawa / Gatineau Airport,Gatineau,Que.,Canada
YNM,Matagami Airport,Matagami,Quebec,Canada
YOC,Old Crow Airport,Old Crow,Y.T.,Canada
YOD,CFB Cold Lake,Cold Lake,Alberta,Canada
YOJ,High Level Airport,High Level,Alberta,Canada
YOW,Ottawa Macdonald-Cartier International Airport,Ottawa,Ontario,Canada
YPA,Prince Albert Glass Field,Prince Albert,Sask.,Canada
YPE,Peace River Airport,Peace River,Alta.,Canada
YPG,Southport Airport,Portage-la-prairie,Manitoba,Canada
YPL,Pickle Lake Airport,Pickle Lake,Ont.,Canada
YPN,Port Menier Airport,Port Menier,Que.,Canada
YPQ,Peterborough Airport,Peterborough,Ont.,Canada
YPR,Prince Rupert Airport,Prince Pupert,B.C.,Canada
YPY,Fort Chipewyan Airport,Fort Chipewyan,Alta.,Canada
YQA,Muskoka Airport,Muskoka,Ont.,Canada
YQB,Quebec Jean Lesage International Airport,Quebec,Que.,Canada
YQF,Red Deer Regional Airport,Red Deer Industrial,Alta.,Canada
YQG,Windsor Airport,Windsor,Ont.,Canada
YQH,Watson Lake Airport,Watson Lake,Y.T.,Canada
YQK,Kenora Airport,Kenora,Ont.,Canada
YQL,Lethbridge County Airport,Lethbridge,Alta.,Canada
YQM,Greater Moncton International Airport,Moncton,N.B.,Canada
YQQ,Comox Airport,Comox,B.C.,Canada
YQR,Regina International Airport,Regina,Sask.,Canada
YQT,Thunder Bay Airport,Thunder Bay,Ont.,Canada
YQU,Grande Prairie Airport,Grande Prairie,Alberta,Canada
YQV,Yorkton Municipal Airport,Yorkton,Sask.,Canada
YQW,North Battleford Airport,North Battleford,Sask.,Canada
YQX,Gander International Airport,Gander,Nfld.,Canada
YQY,Sydney / J.A. Douglas McCurdy Airport,Sydney,N.S.,Canada
YQZ,Quesnel Airport,Quesnel,B.C.,Canada
YRB,Resolute Bay Airport,Resolute,N.W.T.,Canada
YRI,Rivière-du-Loup Airport,Riviere Du Loup,Que.,Canada
YRJ,Roberval Airport,Roberval,Que.,Canada
YRM,Rocky Mountain House Airport,Rocky Mountain House,Alta.,Canada
YRT,Rankin Inlet Airport,Rankin Inlet,N.W.T.,Canada
YSB,Sudbury Airport,Sudbury,Ont.,Canada
YSC,Sherbrooke Airport,Sherbrooke,Que.,Canada
YSJ,Saint John Airport,St. John,N.B.,Canada
YSM,Fort Smith Airport,Fort Smith,N.W.T.,Canada
YSR,Nanisivik Airport,Nanisivik,,Canada
YSU,Summerside Airport,Summerside,P.E.I.,Canada
YSY,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,Sachs Harbour,N.W.T.,Canada
YTE,Cape Dorset Airport,Cape Dorset,N.W.T.,Canada
YTH,Thompson Airport,Thompson,Man.,Canada
YTR,CFB Trenton,Trenton,Ont.,Canada
YTS,Timmins/Victor M. Power,Timmins,Ont.,Canada
YTZ,Billy Bishop Toronto City Centre Airport,Toronto,Ont.,Canada
YUB,Tuktoyaktuk Airport,Tuktoyaktuk,N.W.T.,Canada
YUL,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Quebec,Canada
YUT,Repulse Bay Airport,Repulse Bay,N.T.,Canada
YUX,Hall Beach Airport,Hall Beach,N.W.T.,Canada
YUY,Rouyn Noranda Airport,Rouyn,Que.,Canada
YVC,La Ronge Airport,La Ronge,Sask.,Canada
YVG,Vermilion Airport,Vermillion,Alberta,Canada
YVM,Qikiqtarjuaq Airport,Broughton Island,N.W.T.,Canada
YVO,Val-d'Or Airport,Val D'or,Que.,Canada
YVP,Kuujjuaq Airport,Quujjuaq,Que.,Canada
YVQ,Norman Wells Airport,Norman Wells,N.W.T.,Canada
YVR,Vancouver International Airport,Vancouver,B.C.,Canada
YVT,Buffalo Narrows Airport,Buffalo Narrows,Sask.,Canada
YVV,Wiarton Airport,Wiarton,Ontario,Canada
YWA,Petawawa Airport,Petawawa,Ontario,Canada
YWG,Winnipeg / James Armstrong Richardson International Airport,Winnipeg,Man.,Canada
YWK,Wabush Airport,Wabush,Nfld.,Canada
YWL,Williams Lake Airport,Williams Lake,B.C.,Canada
YWY,Wrigley Airport,Wrigley,N.W.T.,Canada
YXC,Cranbrook/Canadian Rockies International Airport,Cranbrook,B.C.,Canada
YXD,Edmonton City Centre (Blatchford Field) Airport,Edmonton,Alta.,Canada
YXE,Saskatoon John G. Diefenbaker International Airport,Saskatoon,Sask.,Canada
YXH,Medicine Hat Airport,Medicine Hat,Alta.,Canada
YXJ,Fort St John Airport,Fort Saint John,B.C.,Canada
YXL,Sioux Lookout Airport,Sioux Lookout,Ont.,Canada
YXP,Pangnirtung Airport,Pangnirtung,N.W.T.,Canada
YXR,Earlton (Timiskaming Regional) Airport,Earlton,Ont.,Canada
YXS,Prince George Airport,Prince George,B.C.,Canada
YXT,Northwest Regional Airport Terrace-Kitimat,Terrace,B.C.,Canada
YXU,London Airport,London,Ont.,Canada
YXX,Abbotsford Airport,Abbotsford,B.C.,Canada
YXY,Whitehorse / Erik Nielsen International Airport,Whitehorse,Y.T.,Canada
YYB,North Bay Jack Garland Airport,North Bay,Ont.,Canada
YYC,Calgary International Airport,Calgary,Alta.,Canada
YYD,Smithers Airport,Smithers,B.C.,Canada
YYE,Fort Nelson Airport,Fort Nelson,B.C.,Canada
YYF,Penticton Airport,Penticton,B.C.,Canada
YYG,Charlottetown Airport,Charlottetown,P.E.I.,Canada
YYH,Taloyoak Airport,Spence Bay,N.W.T.,Canada
YYJ,Victoria International Airport,Victoria,B.C.,Canada
YYL,Lynn Lake Airport,Lynn Lake,Man.,Canada
YYN,Swift Current Airport,Swift Current,Sask.,Canada
YYQ,Churchill Airport,Churchill,Man.,Canada
YYR,Goose Bay Airport,Goose Bay,Nfld.,Canada
YYT,St. John's International Airport,St. John's,Nfld.,Canada
YYU,Kapuskasing Airport,Kapuskasing,Ont.,Canada
YYW,Armstrong Airport,Armstrong,Ont.,Canada
YYY,Mont Joli Airport,Mont Joli,Que.,Canada
YYZ,Lester B. Pearson International Airport,Toronto,Ontario,Canada
YZD,Downsview Airport,Toronto,,Canada
YZE,Gore Bay Manitoulin Airport,Gore Bay,Ontario,Canada
YZF,Yellowknife Airport,Yellowknife,N.W.T.,Canada
YZH,Slave Lake Airport,Slave Lake,Alta.,Canada
YZP,Sandspit Airport,Sandspit,B.C.,Canada
YZR,Chris Hadfield Airport,Sarnia,Ont.,Canada
YZT,Port Hardy Airport,Port Hardy,B.C.,Canada
YZU,Whitecourt Airport,Whitecourt,Alberta,Canada
YZV,Sept-Îles Airport,Sept-iles,Quebec,Canada
YZW,Teslin Airport,Teslin,Yt,Canada
YZX,CFB Greenwood,Greenwood,N.S.,Canada
ZFA,Faro Airport,Faro,Y.T.,Canada
ZFM,Fort Mcpherson Airport,Fort Mcpherson,N.W.T.,Canada
QLD,Blida Airport,Blida,,Algeria
BUJ,Bou Saada Airport,Bou Saada,,Algeria
BJA,Soummam Airport,Bejaja,,Algeria
ALG,Houari Boumediene Airport,Algier,,Algeria
DJG,Djanet Inedbirene Airport,Djanet,,Algeria
VVZ,Illizi Takhamalt Airport,Illizi,,Algeria
TMR,Aguenar – Hadj Bey Akhamok Airport,Tamanrasset,,Algeria
GJL,Jijel Ferhat Abbas Airport,Jijel,,Algeria
MZW,Mecheria Airport,Mecheria,,Algeria
AAE,Rabah Bitat Airport,Annaba,,Algeria
CZL,Mohamed Boudiaf International Airport,Constantine,,Algeria
TEE,Cheikh Larbi Tébessi Airport,Tebessa,,Algeria
HRM,Hassi R'Mel Airport,Tilrempt,,Algeria
TID,Bou Chekif Airport,Tiaret,,Algeria
TIN,Tindouf Airport,Tindouf,,Algeria
CFK,Ech Cheliff Airport,Ech-cheliff,,Algeria
TAF,Tafaraoui Airport,Oran,,Algeria
TLM,Zenata – Messali El Hadj Airport,Tlemcen,,Algeria
ORN,Es Senia Airport,Oran,,Algeria
BFW,Sidi Bel Abbes Airport,Sidi Bel Abbes,,Algeria
MUW,Ghriss Airport,Ghriss,,Algeria
AZR,Touat Cheikh Sidi Mohamed Belkebir Airport,Adrar,,Algeria
BSK,Biskra Airport,Biskra,,Algeria
ELG,El Golea Airport,El Golea,,Algeria
GHA,Noumérat - Moufdi Zakaria Airport,Ghardaia,,Algeria
HME,Oued Irara Airport,Hassi Messaoud,,Algeria
INZ,In Salah Airport,In Salah,,Algeria
TGR,Touggourt Sidi Madhi Airport,Touggourt,,Algeria
LOO,Laghouat Airport,Laghouat,,Algeria
TMX,Timimoun Airport,Timimoun,,Algeria
OGX,Ain el Beida Airport,Ouargla,,Algeria
IAM,In Aménas Airport,Zarzaitine,,Algeria
COO,Cadjehoun Airport,Cotonou,,Benin
OUA,Ouagadougou Airport,Ouagadougou,,Burkina Faso
BOY,Bobo Dioulasso Airport,Bobo-dioulasso,,Burkina Faso
ACC,Kotoka International Airport,Accra,,Ghana
TML,Tamale Airport,Tamale,,Ghana
NYI,Sunyani Airport,Sunyani,,Ghana
TKD,Takoradi Airport,Takoradi,,Ghana
ABJ,Port Bouet Airport,Abidjan,,Cote d'Ivoire
BYK,Bouaké Airport,Bouake,,Cote d'Ivoire
DJO,Daloa Airport,Daloa,,Cote d'Ivoire
HGO,Korhogo Airport,Korhogo,,Cote d'Ivoire
MJC,Man Airport,Man,,Cote d'Ivoire
SPY,San Pedro Airport,San Pedro,,Cote d'Ivoire
ASK,Yamoussoukro Airport,Yamoussoukro,,Cote d'Ivoire
ABV,Nnamdi Azikiwe International Airport,Abuja,,Nigeria
AKR,Akure Airport,Akure,,Nigeria
BNI,Benin Airport,Benin,,Nigeria
CBQ,Margaret Ekpo International Airport,Calabar,,Nigeria
ENU,Akanu Ibiam International Airport,Enugu,,Nigeria
IBA,Ibadan Airport,Ibadan,,Nigeria
ILR,Ilorin International Airport,Ilorin,,Nigeria
JOS,Yakubu Gowon Airport,Jos,,Nigeria
KAD,Kaduna Airport,Kaduna,,Nigeria
KAN,Mallam Aminu International Airport,Kano,,Nigeria
MIU,Maiduguri International Airport,Maiduguri,,Nigeria
MDI,Makurdi Airport,Makurdi,,Nigeria
LOS,Murtala Muhammed International Airport,Lagos,,Nigeria
MXJ,Minna Airport,Minna,,Nigeria
PHC,Port Harcourt International Airport,Port Hartcourt,,Nigeria
SKO,Sadiq Abubakar III International Airport,Sokoto,,Nigeria
YOL,Yola Airport,Yola,,Nigeria
ZAR,Zaria Airport,Zaria,,Nigeria
MFQ,Maradi Airport,Maradi,,Niger
NIM,Diori Hamani International Airport,Niamey,,Niger
THZ,Tahoua Airport,Tahoua,,Niger
AJY,Mano Dayak International Airport,Agadez,,Niger
ZND,Zinder Airport,Zinder,,Niger
MIR,Monastir Habib Bourguiba International Airport,Monastir,,Tunisia
TUN,Tunis Carthage International Airport,Tunis,,Tunisia
GAF,Gafsa Ksar International Airport,Gafsa,,Tunisia
GAE,Gabès Matmata International Airport,Gabes,,Tunisia
DJE,Djerba Zarzis International Airport,Djerba,,Tunisia
EBM,El Borma Airport,El Borma,,Tunisia
SFA,Sfax Thyna International Airport,Sfax,,Tunisia
TOE,Tozeur Nefta International Airport,Tozeur,,Tunisia
LRL,Niamtougou International Airport,Niatougou,,Togo
LFW,Lomé-Tokoin Airport,Lome,,Togo
ANR,Antwerp International Airport (Deurne),Antwerp,,Belgium
BRU,Brussels Airport,Brussels,,Belgium
CRL,Brussels South Charleroi Airport,Charleroi,,Belgium
KJK,Wevelgem Airport,Kortrijk-vevelgem,,Belgium
LGG,Liège Airport,Liege,,Belgium
OST,Ostend-Bruges International Airport,Ostend,,Belgium
OBL,Zoersel (Oostmalle) Airfield,Zoersel,,Belgium
AOC,Altenburg-Nobitz Airport,Altenburg,,Germany
IES,Riesa-Göhlis Airport,Riesa,,Germany
REB,Rechlin-Lärz Airport,Rechlin-laerz,,Germany
QXH,Schönhagen Airport,Schoenhagen,,Germany
BBH,Barth Airport,Barth,,Germany
ZMG,"Magdeburg ""City"" Airport",Magdeburg,,Germany
CBU,Cottbus-Drewitz Airport,Cottbus,,Germany
SXF,Berlin-Schönefeld Airport,Berlin,,Germany
DRS,Dresden Airport,Dresden,,Germany
ERF,Erfurt Airport,Erfurt,,Germany
FRA,Frankfurt am Main Airport,Frankfurt,,Germany
FMO,Münster Osnabrück Airport,Munster,,Germany
HAM,Hamburg Airport,Hamburg,,Germany
THF,Berlin-Tempelhof International Airport,Berlin,,Germany
CGN,Cologne Bonn Airport,Cologne,,Germany
DUS,Düsseldorf Airport,Duesseldorf,,Germany
MUC,Munich Airport,Munich,,Germany
NUE,Nuremberg Airport,Nuernberg,,Germany
LEJ,Leipzig/Halle Airport,Leipzig,,Germany
SCN,Saarbrücken Airport,Saarbruecken,,Germany
STR,Stuttgart Airport,Stuttgart,,Germany
TXL,Berlin-Tegel Airport,Berlin,,Germany
HAJ,Hannover Airport,Hannover,,Germany
BRE,Bremen Airport,Bremen,,Germany
QEF,Frankfurt-Egelsbach Airport,Egelsbach,,Germany
HHN,Frankfurt-Hahn Airport,Hahn,,Germany
MHG,Mannheim-City Airport,Mannheim,,Germany
EIB,Eisenach-Kindel Airport,Eisenach,,Germany
SGE,Siegerland Airport,Siegerland,,Germany
XFW,Hamburg-Finkenwerder Airport,Hamburg,,Germany
KEL,Kiel-Holtenau Airport,Kiel,,Germany
LBC,Lübeck Blankensee Airport,Luebeck,,Germany
ESS,Essen Mulheim Airport,Essen,,Germany
BFE,Bielefeld Airport,Bielefeld,,Germany
MGL,Mönchengladbach Airport,Moenchengladbach,,Germany
PAD,Paderborn Lippstadt Airport,Paderborn,,Germany
DTM,Dortmund Airport,Dortmund,,Germany
AGB,Augsburg Airport,Augsburg,,Germany
OBF,Oberpfaffenhofen Airport,Oberpfaffenhofen,,Germany
RBM,Straubing Airport,Straubing,,Germany
FDH,Friedrichshafen Airport,Friedrichshafen,,Germany
SZW,Schwerin Parchim Airport,Parchim,,Germany
BYU,Bayreuth Airport,Bayreuth,,Germany
URD,Burg Feuerstein Airport,Burg Feuerstein,,Germany
HOQ,Hof-Plauen Airport,Hof,,Germany
ZQW,Zweibrücken Airport,Zweibruecken,,Germany
ZQL,Donaueschingen-Villingen Airport,Donaueschingen,,Germany
BWE,Braunschweig-Wolfsburg Airport,Braunschweig,,Germany
KSF,Kassel-Calden Airport,Kassel,,Germany
BRV,Bremerhaven Airport,Bremerhaven,,Germany
EME,Emden Airport,Emden,,Germany
WVN,Wilhelmshaven-Mariensiel Airport,Wilhelmshaven,,Germany
BMK,Borkum Airport,Borkum,,Germany
NRD,Norderney Airport,Norderney,,Germany
FLF,Flensburg-Schäferhaus Airport,Flensburg,,Germany
GWT,Westerland Sylt Airport,Westerland,,Germany
KDL,Kärdla Airport,Kardla,,Estonia
URE,Kuressaare Airport,Kuressaare,,Estonia
EPU,Pärnu Airport,Parnu,,Estonia
TLL,Lennart Meri Tallinn Airport,Tallinn-ulemiste International,,Estonia
TAY,Tartu Airport,Tartu,,Estonia
ENF,Enontekio Airport,Enontekio,,Finland
KEV,Halli Airport,Halli,,Finland
HEM,Helsinki Malmi Airport,Helsinki,,Finland
HEL,Helsinki Vantaa Airport,Helsinki,,Finland
HYV,Hyvinkää Airfield,Hyvinkaa,,Finland
KTQ,Kitee Airport,Kitee,,Finland
IVL,Ivalo Airport,Ivalo,,Finland
JOE,Joensuu Airport,Joensuu,,Finland
JYV,Jyvaskyla Airport,Jyvaskyla,,Finland
KAU,Kauhava Airport,Kauhava,,Finland
KEM,Kemi-Tornio Airport,Kemi,,Finland
KAJ,Kajaani Airport,Kajaani,,Finland
KHJ,Kauhajoki Airport,Kauhajoki,,Finland
KOK,Kokkola-Pietarsaari Airport,Kruunupyy,,Finland
KAO,Kuusamo Airport,Kuusamo,,Finland
KTT,Kittilä Airport,Kittila,,Finland
KUO,Kuopio Airport,Kuopio,,Finland
QLF,Lahti Vesivehmaa Airport,Vesivehmaa,,Finland
LPP,Lappeenranta Airport,Lappeenranta,,Finland
MHQ,Mariehamn Airport,Mariehamn,Aland Is.,Finland
MIK,Mikkeli Airport,Mikkeli,,Finland
OUL,Oulu Airport,Oulu,,Finland
POR,Pori Airport,Pori,,Finland
RVN,Rovaniemi Airport,Rovaniemi,,Finland
SVL,Savonlinna Airport,Savonlinna,,Finland
SOT,Sodankyla Airport,Sodankyla,,Finland
TMP,Tampere-Pirkkala Airport,Tampere,,Finland
TKU,Turku Airport,Turku,,Finland
UTI,Utti Air Base,Utti,,Finland
VAA,Vaasa Airport,Vaasa,,Finland
VRK,Varkaus Airport,Varkaus,,Finland
YLI,Ylivieska Airfield,Ylivieska-raudaskyla,,Finland
BFS,Belfast International Airport,Belfast,N. Ireland,United Kingdom
ENK,St Angelo Airport,Enniskillen,N. Ireland,United Kingdom
BHD,George Best Belfast City Airport,Belfast,N. Ireland-Harbour,United Kingdom
LDY,City of Derry Airport,Londonderry,N. Ireland,United Kingdom
BHX,Birmingham International Airport,Birmingham,England,United Kingdom
CVT,Coventry Airport,Coventry,England,United Kingdom
GLO,Gloucestershire Airport,Golouchestershire,England,United Kingdom
GBA,Cotswold Airport,Pailton,,United Kingdom
MAN,Manchester Airport,Manchester,England,United Kingdom
NQY,Newquay Cornwall Airport,Newquai,England,United Kingdom
LYE,RAF Lyneham,Lyneham,,United Kingdom
YEO,RNAS Yeovilton,Yeovilton,,United Kingdom
HAW,Haverfordwest Airport,Haverfordwest,,United Kingdom
CWL,Cardiff International Airport,Cardiff,Wales,United Kingdom
SWS,Swansea Airport,Swansea,Wales,United Kingdom
BRS,Bristol Airport,Bristol,England,United Kingdom
LPL,Liverpool John Lennon Airport,Liverpool,England,United Kingdom
LTN,London Luton Airport,London,England,United Kingdom
PLH,Plymouth City Airport,Plymouth,England,United Kingdom
BOH,Bournemouth Airport,Bournemouth,England,United Kingdom
SOU,Southampton Airport,Southampton,England,United Kingdom
QLA,Lasham Airport,Lasham,,United Kingdom
ACI,Alderney Airport,Alderney,Channel Is.,Guernsey
GCI,Guernsey Airport,Guernsey,Channel Is.,Guernsey
JER,Jersey Airport,Jersey,Channel Is.,Jersey
ESH,Shoreham Airport,Shoreham By Sea,England,United Kingdom
BQH,London Biggin Hill Airport,Biggin Hill,,United Kingdom
LGW,London Gatwick Airport,London,England,United Kingdom
LCY,London City Airport,London,England,United Kingdom
FAB,Farnborough Airport,Farnborough,,United Kingdom
BBS,Blackbushe Airport,Blackbushe,,United Kingdom
LHR,London Heathrow Airport,London,England,United Kingdom
SEN,Southend Airport,Southend,England,United Kingdom
LYX,Lydd Airport,Lydd,Kent,United Kingdom
MSE,Kent International Airport,Manston,England,United Kingdom
CAX,Carlisle Airport,Carlisle,England,United Kingdom
BLK,Blackpool International Airport,Blackpool,England,United Kingdom
HUY,Humberside Airport,Humberside,England,United Kingdom
BWF,Barrow Walney Island Airport,Barrow Island,,United Kingdom
LBA,Leeds Bradford Airport,Leeds,England,United Kingdom
WRT,Warton Airport,Warton,,United Kingdom
CEG,Hawarden Airport,Hawarden,England,United Kingdom
IOM,Isle of Man Airport,Isle Of Man,,Isle of Man
NCL,Newcastle Airport,Newcastle,England,United Kingdom
MME,Durham Tees Valley Airport,Teesside,England,United Kingdom
EMA,East Midlands Airport,East Midlands,England,United Kingdom
KOI,Kirkwall Airport,Kirkwall,Orkney Is.,United Kingdom
LSI,Sumburgh Airport,Sumburgh,Shetland Is.,United Kingdom
WIC,Wick Airport,Wick,Scotland,United Kingdom
ABZ,Aberdeen Dyce Airport,Aberdeen,Scotland,United Kingdom
INV,Inverness Airport,Inverness,Scotland,United Kingdom
GLA,Glasgow International Airport,Glasgow,Scotland,United Kingdom
EDI,Edinburgh Airport,Edinburgh,Scotland,United Kingdom
ILY,Islay Airport,Islay,Scotland,United Kingdom
PIK,Glasgow Prestwick Airport,Prestwick,Scot,United Kingdom
BEB,Benbecula Airport,Benbecula,Hebrides Is.,United Kingdom
SCS,Scatsta Airport,Scatsta,Scotland,United Kingdom
DND,Dundee Airport,Dundee,Angus,United Kingdom
SYY,Stornoway Airport,Stornoway,Scotland,United Kingdom
TRE,Tiree Airport,Tiree,Scotland,United Kingdom
ADX,RAF Leuchars,Leuchars,,United Kingdom
LMO,RAF Lossiemouth,Lossiemouth,,United Kingdom
CBG,Cambridge Airport,Cambridge,England,United Kingdom
NWI,Norwich International Airport,Norwich,England,United Kingdom
STN,London Stansted Airport,London,England,United Kingdom
EXT,Exeter International Airport,Exeter,England,United Kingdom
FZO,Bristol Filton Airport,Bristol,,United Kingdom
OXF,Oxford (Kidlington) Airport,Oxford,,United Kingdom
BEX,RAF Benson,Benson,,United Kingdom
LKZ,RAF Lakenheath,Lakenheath,,United Kingdom
MHZ,RAF Mildenhall,Mildenhall,,United Kingdom
QUY,RAF Wyton,Wyton,,United Kingdom
FFD,RAF Fairford,Fairford,,United Kingdom
BZZ,RAF Brize Norton,Brize Norton,,United Kingdom
ODH,RAF Odiham,Odiham,,United Kingdom
NHT,RAF Northolt,Northolt,,United Kingdom
QCY,RAF Coningsby,Coningsby,,United Kingdom
BEQ,RAF Honington,Honington,,United Kingdom
SQZ,RAF Scampton,Scampton,,United Kingdom
HRT,RAF Linton-On-Ouse,Linton-on-ouse,,United Kingdom
WTN,RAF Waddington,Waddington,,United Kingdom
KNF,RAF Marham,Marham,,United Kingdom
MPN,Mount Pleasant Airport,Mount Pleasant,,Falkland Islands
AMS,Amsterdam Airport Schiphol,Amsterdam,,Netherlands
MST,Maastricht Aachen Airport,Maastricht,,Netherlands
EIN,Eindhoven Airport,Eindhoven,,Netherlands
GRQ,Eelde Airport,Groningen,,Netherlands
GLZ,Gilze Rijen Air Base,Gilze-rijen,,Netherlands
DHR,De Kooy Airport,De Kooy,,Netherlands
LEY,Lelystad Airport,Lelystad,,Netherlands
LWR,Leeuwarden Air Base,Leeuwarden,,Netherlands
RTM,Rotterdam The Hague Airport,Rotterdam,,Netherlands
UTC,Soesterberg Air Base,Soesterberg,,Netherlands
ENS,Twente Airport,Enschede,,Netherlands
LID,Valkenburg Naval Air Base,Valkenburg,,Netherlands
